input_path,output_path,status,original_sample_rate,original_channels,original_frames,output_sample_rate,output_channels,output_frames,original_duration_seconds,output_duration_seconds,error
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1278.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1278.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1279.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1279.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1280.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1280.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1281.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1281.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1282.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1282.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1283.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1283.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1284.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1284.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1285.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1285.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1286.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1286.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1287.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1287.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1288.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1288.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1289.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1289.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1290.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1290.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1291.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1291.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1292.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1292.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1293.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1293.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1294.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1294.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1295.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1295.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1296.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1296.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1297.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1297.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1298.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1298.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00033-of-00803_0.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00033-of-00803_0.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00033-of-00803_1.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00033-of-00803_1.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00033-of-00803_10.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00033-of-00803_10.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00033-of-00803_100.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00033-of-00803_100.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00033-of-00803_101.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00033-of-00803_101.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
